Original gene set ID	Original gene set description	Nominal P value	False discovery rate	qvalue	Test statistic	Adjusted test statistic	Reconstituted gene set Z score gene 1	Reconstituted gene set Z score gene 2	Reconstituted gene set Z score gene 3	Reconstituted gene set Z score gene 4	Reconstituted gene set Z score gene 5	Reconstituted gene set Z score gene 6	Reconstituted gene set Z score gene 7	Reconstituted gene set Z score gene 8	Reconstituted gene set Z score gene 9	Reconstituted gene set Z score gene 10
MP:0002427	disproportionate dwarf	8.312E-18	<0.01	0	106.653	8.515	MATN3 (8.367*,12.0)	SUSD5 (7.324*,20.0)	SLC8A3 (5.916*,37.0)	LOXL4 (5.648*,39.0)	FIBIN (4.912*,57.0)	SFRP4 (4.648*,65.0)	FRZB (4.546*,69.0)	IHH (4.143*,99.0)	PTH1R (3.626*,127.0)	TIAM2 (3.357*,162.0)
GO:0051216	cartilage development	2.826E-17	<0.01	0	91.875	8.372	SUSD5 (6.486*,6.0)	MATN3 (6.145*,13.0)	FIBIN (3.691*,81.0)	FRZB (3.455*,104.0)	LOXL4 (3.433*,109.0)	GLT8D2 (3.425*,110.0)	TIAM2 (3.323*,123.0)	ADAMTS17 (3.294*,127.0)	TBX15 (3.247*,137.0)	IHH (3.238*,141.0)
MP:0008271	abnormal bone ossification	3.405E-17	<0.01	0	104.753	8.35	SUSD5 (5.645*,11.0)	PTH1R (5.172*,14.0)	MATN3 (5.071*,19.0)	FBN2 (4.163*,48.0)	SNAI1 (4.019*,55.0)	TIAM2 (3.918*,68.0)	FRZB (3.576*,111.0)	LOXL4 (3.402*,135.0)	TBX15 (3.389*,137.0)	CHSY1 (3.375*,141.0)
MP:0004686	decreased length of long bones	3.555E-17	<0.01	0	107.203	8.345	MATN3 (6.322*,19.0)	LOXL4 (5.546*,33.0)	SUSD5 (5.409*,34.0)	PTH1R (5.346*,37.0)	SLC8A3 (5.236*,40.0)	IHH (4.02*,96.0)	FIBIN (3.989*,97.0)	SERPINF1 (3.627*,132.0)	FRZB (3.469*,152.0)	FBN2 (3.391*,167.0)
MP:0004351	short humerus	2.014E-16	<0.01	0	100.62	8.138	MATN3 (6.083*,10.0)	FBN2 (5.331*,26.0)	PTH1R (5.053*,31.0)	SUSD5 (4.74*,41.0)	SLC8A3 (4.739*,42.0)	PTCH1 (4.165*,68.0)	FIBIN (4.115*,74.0)	LOXL4 (4.045*,82.0)	FRZB (3.228*,181.0)	ADAMTS3 (3.097*,219.0)
GO:0001501	skeletal system development	7.579E-16	<0.01	0	87.682	7.976	SUSD5 (4.895*,45.0)	FIBIN (4.78*,52.0)	MATN3 (4.556*,62.0)	TBX15 (4.224*,75.0)	GLT8D2 (3.982*,89.0)	LOXL4 (3.463*,144.0)	ROR2 (3.192*,194.0)	PTH1R (2.881*,272.0)	SFRP4 (2.863*,279.0)	TIAM2 (2.748*,312.0)
MP:0004359	short ulna	9.959E-16	<0.01	0	94.144	7.942	FBN2 (5.694*,8.0)	MATN3 (5.288*,14.0)	FIBIN (4.273*,52.0)	CCDC8 (3.902*,86.0)	GLT8D2 (3.817*,99.0)	PTH1R (3.667*,111.0)	TBX15 (3.334*,160.0)	PTCH1 (3.264*,178.0)	IHH (3.195*,193.0)	HSD11B2 (3.086*,219.0)
MP:0000445	short snout	1.603E-15	<0.01	0	109.091	7.883	FRZB (5.092*,19.0)	PTH1R (4.852*,27.0)	FBN2 (4.564*,41.0)	PTCH1 (4.326*,55.0)	MATN3 (4.287*,57.0)	SLC8A3 (4.085*,71.0)	IHH (3.423*,154.0)	SNAI1 (3.368*,164.0)	GLT8D2 (3.168*,190.0)	SUSD5 (3.16*,191.0)
MP:0000150	abnormal rib morphology	3.118E-15	<0.01	0	88.749	7.799	TBX15 (5.575*,14.0)	FBN2 (4.98*,27.0)	SUSD5 (4.873*,30.0)	PTH1R (4.834*,33.0)	SLC8A3 (3.827*,111.0)	FRZB (3.477*,162.0)	MATN3 (3.32*,186.0)	ROR2 (3.319*,188.0)	TIAM2 (3.234*,205.0)	MMP14 (3.17*,213.0)
MP:0000166	abnormal chondrocyte morphology	5.754E-15	<0.01	0	103.22	7.721	MATN3 (7.219*,23.0)	SUSD5 (6.815*,29.0)	SLC8A3 (5.973*,41.0)	PTH1R (5.828*,43.0)	FRZB (4.612*,75.0)	LOXL4 (4.586*,77.0)	SFRP4 (4.532*,78.0)	FIBIN (4.335*,90.0)	TIAM2 (3.983*,119.0)	IHH (3.906*,125.0)
MP:0003723	abnormal long bone morphology	7.13E-15	<0.01	0	103.327	7.694	PTH1R (6.573*,4.0)	FBN2 (4.885*,48.0)	MMP14 (4.541*,66.0)	SERPINF1 (4.456*,71.0)	PTCH1 (4.288*,83.0)	MATN3 (4.255*,87.0)	SLC8A3 (4.152*,94.0)	GLT8D2 (3.985*,107.0)	LOXL4 (3.965*,109.0)	FRZB (3.775*,124.0)
MP:0004509	abnormal pelvic girdle bone morphology	9.757E-15	<0.01	0	95.814	7.654	MATN3 (7.587*,3.0)	SFRP4 (5.374*,25.0)	FBN2 (4.608*,54.0)	FIBIN (4.534*,60.0)	PTH1R (4.359*,73.0)	LOXL4 (4.218*,79.0)	ELN (3.526*,159.0)	SUSD5 (3.393*,180.0)	TIAM2 (3.309*,192.0)	MMP14 (3.169*,219.0)
MP:0000547	short limbs	1.2E-14	<0.01	0	98.322	7.627	MATN3 (6.139*,10.0)	SUSD5 (5.247*,28.0)	SLC8A3 (5.096*,30.0)	PTH1R (5.063*,32.0)	FBN2 (4.345*,62.0)	FRZB (4.341*,63.0)	IHH (3.945*,92.0)	FIBIN (3.848*,100.0)	ROR2 (3.718*,114.0)	PTCH1 (3.543*,127.0)
MP:0003662	abnormal long bone epiphyseal plate proliferative zone	1.236E-14	<0.01	0	98.259	7.623	MATN3 (8.215*,4.0)	SFRP4 (6.174*,26.0)	SUSD5 (4.537*,68.0)	PTH1R (4.486*,72.0)	FIBIN (4.406*,77.0)	FRZB (4.364*,82.0)	IHH (4.001*,119.0)	SLC8A3 (3.901*,131.0)	CRISPLD2 (3.811*,141.0)	GLT8D2 (3.575*,181.0)
MP:0000163	abnormal cartilage morphology	1.432E-14	<0.01	0	95.556	7.604	MATN3 (7.067*,7.0)	SUSD5 (6.11*,16.0)	LOXL4 (4.995*,44.0)	PTH1R (4.841*,51.0)	FRZB (4.243*,73.0)	TBX15 (4.168*,76.0)	TIAM2 (4.024*,91.0)	FBN2 (3.606*,136.0)	SLC8A3 (3.541*,148.0)	IHH (3.484*,159.0)
MP:0000164	abnormal cartilage development	1.541E-14	<0.01	0	95.09	7.595	MATN3 (8.694*,6.0)	FIBIN (6.566*,27.0)	SUSD5 (6.511*,28.0)	PTH1R (5.399*,47.0)	SLC8A3 (4.489*,70.0)	FBN2 (4.065*,102.0)	FRZB (4.004*,107.0)	LOXL4 (3.972*,112.0)	PTCH1 (3.454*,169.0)	TBX15 (3.27*,197.0)
MP:0002764	short tibia	1.663E-14	<0.01	0	94.656	7.585	MATN3 (4.936*,12.0)	FIBIN (4.378*,40.0)	SLC8A3 (4.334*,42.0)	PTH1R (4.101*,56.0)	IHH (3.862*,79.0)	PTCH1 (3.777*,94.0)	FBN2 (3.549*,128.0)	SUSD5 (3.441*,148.0)	GLT8D2 (3.4*,157.0)	TBX15 (3.272*,171.0)
GO:0002062	chondrocyte differentiation	1.73E-14	<0.01	0	84.953	7.58	SUSD5 (7.024*,4.0)	MATN3 (5.81*,16.0)	LOXL4 (3.803*,78.0)	TIAM2 (3.401*,121.0)	FBN2 (3.317*,127.0)	ADAMTS3 (3.267*,135.0)	ADAMTS17 (3.256*,137.0)	FRZB (3.214*,143.0)	ZNF568 (2.946*,200.0)	TBX15 (2.941*,202.0)
MP:0010029	abnormal basicranium morphology	5.311E-14	<0.01	0	93.462	7.433	SUSD5 (6.704*,22.0)	PTH1R (6.006*,33.0)	MATN3 (5.64*,43.0)	FRZB (5.181*,51.0)	LOXL4 (5.022*,57.0)	PTCH1 (4.682*,65.0)	SLC8A3 (4.381*,75.0)	ELN (3.702*,122.0)	TIAM2 (3.574*,134.0)	IHH (3.522*,139.0)
MP:0005508	abnormal skeleton morphology	1.22E-13	<0.01	0	91.452	7.322	MATN3 (4.566*,26.0)	SNAI1 (4.457*,29.0)	PTH1R (4.375*,35.0)	LOXL4 (4.231*,46.0)	FRZB (4.073*,52.0)	SUSD5 (3.97*,63.0)	MMP14 (3.834*,78.0)	PTCH1 (3.725*,91.0)	FIBIN (3.647*,101.0)	FBN2 (3.163*,207.0)
GO:0001503	ossification	1.662E-13	<0.01	0	84.89	7.281	PTH1R (4.81*,27.0)	SLC8A3 (4.501*,36.0)	SUSD5 (4.002*,60.0)	SFRP4 (3.996*,62.0)	ADAMTS17 (3.657*,83.0)	MATN3 (3.447*,107.0)	PTCH1 (3.158*,149.0)	TIAM2 (3.032*,180.0)	GLT8D2 (3.0*,186.0)	LOXL4 (2.865*,223.0)
MP:0002113	abnormal skeleton development	1.876E-13	<0.01	0	90.873	7.264	PTH1R (4.853*,9.0)	MATN3 (4.513*,20.0)	ROR2 (3.5*,96.0)	GLT8D2 (3.436*,109.0)	FBN2 (3.208*,140.0)	ADAMTS5 (3.201*,142.0)	LATS2 (3.199*,144.0)	SNAI1 (3.093*,165.0)	TTC28 (2.87*,221.0)	PTCH1 (2.715*,272.0)
GO:0061035	regulation of cartilage development	2.819E-13	<0.01	0	76.754	7.209	MATN3 (4.427*,8.0)	SUSD5 (3.736*,19.0)	ROR2 (3.232*,76.0)	GLT8D2 (3.134*,97.0)	ADAMTS3 (2.91*,150.0)	RHOBTB3 (2.562*,290.0)	PTCH1 (2.459*,342.0)	ADAMTS17 (2.44*,363.0)	LOXL4 (2.3*,470.0)	MTMR11 (2.247*,512.0)
MP:0003419	delayed endochondral bone ossification	2.967E-13	<0.01	0	85.72	7.202	MATN3 (4.612*,25.0)	PTH1R (4.282*,37.0)	FBN2 (4.066*,47.0)	FIBIN (3.6*,95.0)	IHH (3.43*,116.0)	FRZB (3.171*,155.0)	PTCH1 (3.14*,157.0)	SUSD5 (2.982*,192.0)	LATS2 (2.896*,212.0)	TTC28 (2.884*,216.0)
MP:0000111	cleft palate	3.395E-13	<0.01	0	86.276	7.184	FBN2 (6.202*,5.0)	PTCH1 (4.241*,41.0)	ROR2 (3.699*,73.0)	FRZB (3.511*,91.0)	TBX15 (3.213*,131.0)	GLT8D2 (2.987*,189.0)	PTH1R (2.9*,217.0)	LATS2 (2.852*,237.0)	MMP14 (2.749*,270.0)	TIAM2 (2.741*,273.0)
MP:0009890	cleft secondary palate	3.952E-13	<0.01	0	86.208	7.163	FBN2 (4.791*,36.0)	PTCH1 (3.944*,85.0)	TTC28 (3.884*,94.0)	GLT8D2 (3.841*,96.0)	TBX15 (3.623*,119.0)	SNAI1 (3.456*,145.0)	RHOBTB3 (3.247*,173.0)	MMP14 (3.115*,208.0)	ROR2 (3.03*,222.0)	PTH1R (2.977*,242.0)
GO:0001649	osteoblast differentiation	4.244E-13	<0.01	0	73.023	7.153	PTCH1 (4.115*,8.0)	ADAMTS17 (3.806*,24.0)	PTH1R (3.715*,32.0)	ROR2 (3.505*,47.0)	SLC8A3 (2.86*,157.0)	SNAI1 (2.766*,198.0)	SFRP4 (2.728*,215.0)	MTMR11 (2.477*,318.0)	GLT8D2 (2.314*,432.0)	DLG5 (2.312*,433.0)
MP:0000088	short mandible	5.15E-13	<0.01	0	86.6	7.126	FBN2 (4.868*,27.0)	TBX15 (4.634*,40.0)	FRZB (4.578*,45.0)	MATN3 (4.269*,61.0)	ROR2 (3.498*,150.0)	PTH1R (3.45*,157.0)	SUSD5 (3.164*,211.0)	PTCH1 (3.088*,230.0)	SNAI1 (3.034*,245.0)	FIBIN (3.016*,248.0)
MP:0000060	delayed bone ossification	8.681E-13	<0.01	0	88.063	7.054	PTH1R (5.864*,6.0)	FBN2 (4.894*,19.0)	MMP14 (4.421*,42.0)	FAM198A (3.618*,99.0)	MATN3 (3.505*,111.0)	SLC8A3 (3.502*,112.0)	PTCH1 (3.492*,113.0)	SFRP4 (3.363*,127.0)	ADAMTS17 (3.222*,146.0)	CHSY1 (3.177*,155.0)
MP:0002114	abnormal axial skeleton morphology	1.008E-12	<0.01	0	84.314	7.033	PTH1R (5.105*,9.0)	PTCH1 (4.388*,36.0)	FBN2 (4.203*,46.0)	SLC8A3 (3.681*,85.0)	ROR2 (3.38*,121.0)	MATN3 (3.319*,134.0)	TBX15 (3.303*,138.0)	SUSD5 (3.229*,151.0)	LOXL4 (2.976*,209.0)	TIAM2 (2.841*,255.0)
MP:0005587	abnormal Meckel's cartilage morphology	1.192E-12	<0.01	0	81.101	7.01	FBN2 (5.134*,24.0)	FRZB (4.684*,43.0)	MATN3 (4.168*,63.0)	FIBIN (3.775*,102.0)	PTCH1 (3.43*,154.0)	PTH1R (3.317*,178.0)	ADAMTS6 (3.286*,185.0)	SUSD5 (3.156*,211.0)	TBX15 (3.114*,220.0)	NPR3 (2.942*,272.0)
MP:0000130	abnormal trabecular bone morphology	1.49E-12	<0.01	0	90.704	6.979	SFRP4 (6.577*,17.0)	PTH1R (6.106*,23.0)	MATN3 (5.471*,38.0)	SUSD5 (5.352*,42.0)	SLC8A3 (4.899*,57.0)	SERPINF1 (4.88*,58.0)	CYP1B1 (4.148*,104.0)	LOXL4 (4.012*,120.0)	MMP14 (3.842*,134.0)	FIBIN (3.661*,158.0)
MP:0010103	small thoracic cage	2.044E-12	<0.01	0	86.326	6.934	MATN3 (6.263*,11.0)	SUSD5 (3.949*,49.0)	PTH1R (3.913*,52.0)	FRZB (3.651*,70.0)	IHH (3.438*,77.0)	LOXL4 (3.247*,97.0)	FBN2 (2.946*,138.0)	CCDC8 (2.934*,140.0)	PTCH1 (2.846*,166.0)	ADAMTS3 (2.694*,205.0)
MP:0003056	abnormal hyoid bone morphology	2.382E-12	<0.01	0	77.379	6.912	PTCH1 (5.288*,31.0)	PTH1R (4.847*,43.0)	SUSD5 (4.623*,51.0)	FRZB (3.954*,88.0)	TIAM2 (3.493*,134.0)	MATN3 (3.343*,161.0)	FBN2 (2.994*,229.0)	IHH (2.892*,253.0)	SLC8A3 (2.751*,302.0)	SNAI1 (2.745*,305.0)
MP:0000455	abnormal maxilla morphology	2.639E-12	<0.01	0	77.695	6.898	FBN2 (4.868*,28.0)	PTH1R (4.391*,47.0)	PTCH1 (3.907*,79.0)	PTPN13 (3.807*,83.0)	TIAM2 (3.561*,127.0)	FRZB (3.324*,165.0)	ADAMTS17 (3.227*,179.0)	AMOTL1 (2.955*,256.0)	CCDC8 (2.665*,352.0)	MATN3 (2.648*,357.0)
MP:0000165	abnormal long bone hypertrophic chondrocyte zone	3.178E-12	<0.01	0	88.383	6.871	SLC8A3 (6.277*,21.0)	MATN3 (5.897*,29.0)	PTH1R (5.431*,36.0)	IHH (4.895*,48.0)	SUSD5 (4.474*,76.0)	LOXL4 (4.438*,78.0)	FRZB (4.396*,81.0)	SFRP4 (4.342*,83.0)	FIBIN (3.486*,143.0)	TIAM2 (3.461*,147.0)
MP:0000131	abnormal long bone epiphysis morphology	4.64E-12	<0.01	0	82.159	6.817	LOXL4 (5.728*,16.0)	MATN3 (5.367*,24.0)	PTH1R (5.015*,29.0)	DUSP1 (4.161*,54.0)	FRZB (3.919*,67.0)	FIBIN (3.645*,89.0)	NPR3 (3.598*,94.0)	SNAI1 (3.262*,130.0)	FBN2 (3.157*,142.0)	LATS2 (3.127*,151.0)
MP:0000559	abnormal femur morphology	4.734E-12	<0.01	0	88.73	6.814	MATN3 (7.042*,2.0)	PTH1R (5.728*,13.0)	LOXL4 (4.514*,51.0)	FIBIN (4.407*,60.0)	SUSD5 (4.161*,75.0)	IHH (3.986*,88.0)	GLT8D2 (3.872*,103.0)	MMP14 (3.64*,132.0)	FRZB (3.167*,211.0)	SLC8A3 (3.08*,231.0)
MP:0002657	chondrodystrophy	7.931E-12	<0.01	0	85.615	6.74	FRZB (5.174*,6.0)	MATN3 (5.035*,9.0)	SNAI1 (4.433*,24.0)	SUSD5 (3.843*,46.0)	ADAMTS6 (2.807*,175.0)	ROR2 (2.737*,195.0)	SLC35E3 (2.707*,205.0)	LATS2 (2.68*,216.0)	PTH1R (2.59*,249.0)	PTCH1 (2.584*,251.0)
GO:0060348	bone development	9.626E-12	<0.01	0	72.503	6.712	SFRP4 (4.711*,8.0)	TIAM2 (3.746*,50.0)	GLT8D2 (3.686*,58.0)	MATN3 (3.609*,61.0)	ELN (3.451*,85.0)	SUSD5 (3.359*,99.0)	TBX15 (2.919*,210.0)	FRZB (2.857*,226.0)	ROR2 (2.794*,246.0)	PTH1R (2.654*,294.0)
MP:0000109	abnormal parietal bone morphology	1.341E-11	<0.01	0	81.814	6.663	PTH1R (6.031*,5.0)	PTCH1 (5.373*,12.0)	SNAI1 (4.075*,34.0)	SLC8A3 (3.728*,52.0)	IHH (3.377*,81.0)	LOXL4 (3.175*,113.0)	TIAM2 (3.073*,129.0)	NPR3 (2.618*,246.0)	SERPINF1 (2.35*,356.0)	GLT8D2 (2.35*,357.0)
MP:0003109	short femur	1.374E-11	<0.01	0	89.487	6.659	PTH1R (7.732*,12.0)	SLC8A3 (6.791*,18.0)	MATN3 (6.764*,19.0)	LOXL4 (5.304*,45.0)	SUSD5 (4.995*,56.0)	FIBIN (4.349*,87.0)	MMP14 (3.939*,118.0)	IHH (3.808*,130.0)	TBX15 (3.673*,144.0)	TIAM2 (3.584*,152.0)
MP:0004989	decreased osteoblast cell number	1.709E-11	<0.01	0	77.544	6.627	PTH1R (5.059*,11.0)	SFRP4 (4.628*,27.0)	MATN3 (4.364*,33.0)	PTCH1 (4.131*,42.0)	SLC8A3 (3.91*,54.0)	CHSY1 (3.217*,122.0)	FRZB (3.149*,136.0)	LAMB2 (2.599*,278.0)	PAM (2.58*,282.0)	SERPINF1 (2.424*,337.0)
MP:0003409	decreased width of hypertrophic chondrocyte zone	2.022E-11	<0.01	0	79.018	6.602	MATN3 (4.708*,17.0)	FIBIN (4.661*,18.0)	IHH (3.857*,48.0)	FRZB (3.765*,56.0)	PTH1R (3.732*,60.0)	SNAI1 (3.605*,68.0)	SUSD5 (3.448*,87.0)	SLC8A3 (3.184*,134.0)	SFRP4 (2.929*,184.0)	PTCH1 (2.729*,241.0)
MP:0003120	abnormal tracheal cartilage morphology	2.464E-11	<0.01	0	80.099	6.573	ELN (5.148*,28.0)	SUSD5 (5.12*,29.0)	PTCH1 (4.292*,66.0)	MATN3 (4.284*,67.0)	CYP1B1 (4.024*,86.0)	FBN2 (3.923*,98.0)	FRZB (3.385*,170.0)	NPR3 (3.232*,196.0)	PTH1R (3.228*,199.0)	PDE5A (3.146*,217.0)
MP:0000107	abnormal frontal bone morphology	2.54E-11	<0.01	0	74.426	6.569	PTCH1 (4.144*,46.0)	SNAI1 (3.892*,60.0)	PTH1R (3.694*,81.0)	TIAM2 (3.349*,106.0)	ADAMTS17 (3.279*,116.0)	TBX15 (2.983*,163.0)	FRZB (2.812*,197.0)	DLG5 (2.666*,238.0)	ROR2 (2.574*,267.0)	PTPN13 (2.286*,410.0)
MP:0004355	short radius	2.69E-11	<0.01	0	79.338	6.56	FBN2 (5.629*,8.0)	FIBIN (4.133*,52.0)	MATN3 (4.066*,58.0)	GLT8D2 (3.901*,74.0)	CCDC8 (3.349*,144.0)	SFRP4 (3.221*,179.0)	TBX15 (3.182*,193.0)	MMP14 (3.133*,204.0)	ROR2 (2.991*,233.0)	PTCH1 (2.76*,308.0)
MP:0003055	abnormal long bone epiphyseal plate morphology	3.562E-11	<0.01	0	85.691	6.518	MATN3 (7.773*,15.0)	SUSD5 (6.095*,26.0)	PTH1R (5.718*,35.0)	LOXL4 (5.169*,48.0)	IHH (4.574*,66.0)	FIBIN (4.351*,82.0)	SLC8A3 (4.232*,93.0)	SFRP4 (4.078*,101.0)	FRZB (3.74*,129.0)	TBX15 (3.572*,155.0)
GO:0048705	skeletal system morphogenesis	3.73E-11	<0.01	0	67.423	6.511	TBX15 (4.38*,52.0)	SUSD5 (3.88*,79.0)	FIBIN (3.573*,97.0)	MATN3 (3.372*,120.0)	GLT8D2 (3.183*,151.0)	PTH1R (2.944*,214.0)	ROR2 (2.89*,230.0)	ZNF568 (2.716*,282.0)	FRZB (2.695*,290.0)	TTC28 (2.636*,307.0)
MP:0000106	abnormal basisphenoid bone morphology	3.918E-11	<0.01	0	72.229	6.504	PTCH1 (5.619*,8.0)	ADAMTS17 (3.811*,83.0)	FBN2 (3.692*,92.0)	TIAM2 (3.438*,129.0)	PTH1R (3.228*,165.0)	DLG5 (3.047*,201.0)	ROR2 (2.89*,236.0)	FAM198A (2.859*,242.0)	SUSD5 (2.647*,311.0)	NPR3 (2.553*,347.0)
MP:0002115	abnormal limb bone morphology	4.872E-11	<0.01	0	77.547	6.471	FBN2 (4.93*,33.0)	TBX15 (4.571*,45.0)	PTH1R (4.402*,50.0)	SLC8A3 (4.052*,77.0)	MATN3 (4.015*,80.0)	SUSD5 (3.811*,94.0)	TIAM2 (3.275*,168.0)	FRZB (3.242*,173.0)	FIBIN (3.156*,199.0)	PTCH1 (2.923*,259.0)
MP:0000440	domed cranium	8.186E-11	<0.01	0	93.787	6.392	MATN3 (4.192*,19.0)	MEGF8 (4.068*,23.0)	SUSD5 (3.916*,34.0)	PTH1R (3.511*,57.0)	SLC8A3 (3.269*,76.0)	ELN (3.178*,84.0)	LATS2 (2.632*,210.0)	TIAM2 (2.624*,216.0)	ROR2 (2.45*,288.0)	N4BP2 (2.409*,313.0)
GO:0030278	regulation of ossification	9.743E-11	<0.01	0	67.576	6.365	SFRP4 (3.356*,44.0)	PTH1R (3.102*,69.0)	ADAMTS17 (2.857*,136.0)	SNAI1 (2.754*,172.0)	SUSD5 (2.707*,186.0)	DLG5 (2.699*,194.0)	FRZB (2.679*,201.0)	GLT8D2 (2.63*,225.0)	ROR2 (2.484*,288.0)	PTCH1 (2.391*,342.0)
